"URL","Image","Name","Brand","Capacity","Star","Rating","Price","Discount"
"www.flipkart.com/usha-90-l-desert-air-cooler/p/itmf9fecef51e70e?pid=AICFE57XJXDGZJHM&lid=LSTAICFE57XJXDGZJHMJCWQRK&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_187&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICFE57XJXDGZJHM.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/kv1a4cw0/air-cooler/o/9/r/190-190-70dd1-69-usha-original-imafe57bd7bmzz4s.jpeg?q=70","USHA 90 L Desert Air Cooler","USHA","90","4","441","₹11,999","23% off"
"www.flipkart.com/mansi-cooler-120-l-desert-air/p/itm63447733c0d17?pid=AICG3NZ4WMGVCGJJ&lid=LSTAICG3NZ4WMGVCGJJIYM41X&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_188&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICG3NZ4WMGVCGJJ.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/kpft18w0/air-cooler/j/r/5/cooer-with-heavy-duty-exaust-motor-iron-blade-honeycomb-padd-120-original-imag3nz4n8vrkzug.jpeg?q=70","Mansi Cooler 120 L Desert Air Cooler","Mansi","120","NULL","NULL","₹4,999","19% off"
"www.flipkart.com/livpure-22-l-room-personal-air-cooler/p/itm9ed61a52db7b9?pid=AICG3ZABYB3HJ6PV&lid=LSTAICG3ZABYB3HJ6PVEFI56V&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_189&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICG3ZABYB3HJ6PV.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/kpvivm80/air-cooler/1/v/d/chill22l-22-livpure-original-imag4yeprfbvrfhd.jpeg?q=70","LIVPURE 22 L Room/Personal Air Cooler","LIVPURE","22","NULL","NULL","₹5,299","24% off"
"www.flipkart.com/crompton-70-l-window-air-cooler/p/itm2b02ce6ba7740?pid=AICGF45SGT4MXPAK&lid=LSTAICGF45SGT4MXPAKXXEYHW&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_190&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICGF45SGT4MXPAK.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/km57hjk0/air-cooler/o/r/u/optimus-prime-70-crompton-original-imagf45qwzphwfqa.jpeg?q=70","CROMPTON 70 L Window Air Cooler","CROMPTON","70","3.3","3","₹10,999","42% off"
"www.flipkart.com/livpure-90-l-desert-air-cooler/p/itm1d58950d51a50?pid=AICG3WY9DZU9H6HA&lid=LSTAICG3WY9DZU9H6HAIYKKVX&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_191&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICG3WY9DZU9H6HA.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/kqfj1jk0/air-cooler/w/i/r/brio-90l-livpure-original-imag4g4mtwvfcsyh.jpeg?q=70","LIVPURE 90 L Desert Air Cooler","LIVPURE","90","5","4","₹12,299","21% off"
"www.flipkart.com/symphony-125-l-desert-air-cooler/p/itmfeyk6qbmhnubz?pid=AICFEYC3XEWKU6HC&lid=LSTAICFEYC3XEWKU6HCVQ2LHT&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_192&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICFEYC3XEWKU6HC.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/jtoorrk0/air-cooler/6/h/c/movicool-l125-symphony-original-imafeybz8gbjjs6g.jpeg?q=70","Symphony 125 L Desert Air Cooler","Symphony","125","4","11","₹19,980","20% off"
"www.flipkart.com/bajaj-43-l-desert-air-cooler/p/itmeqtc4zydf2zub?pid=AICEQTC4JGZHZG2Y&lid=LSTAICEQTC4JGZHZG2Y0KXJQ3&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_193&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICEQTC4JGZHZG2Y.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/air-cooler/g/2/y/platini-px-100-dc-bajaj-original-imaerehvthbxvfx3.jpeg?q=70","BAJAJ 43 L Desert Air Cooler","BAJAJ","43","3.7","64","₹9,999","15% off"
"www.flipkart.com/kenstar-40-l-desert-air-cooler/p/itmfcfwrgnxhvehu?pid=AICFBZPQCUFXQPF8&lid=LSTAICFBZPQCUFXQPF82SW2OD&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_194&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICFBZPQCUFXQPF8.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/krgohow0/air-cooler/q/b/2/turbo-cool-dx-re-with-remote-40-kenstar-original-imag592zzhymy5sj.jpeg?q=70","Kenstar 40 L Desert Air Cooler","Kenstar","40","4.1","8","₹8,850","26% off"
"www.flipkart.com/bajaj-67-l-desert-air-cooler/p/itma10756070a2c2?pid=AICFWPJKN3FJ4BW9&lid=LSTAICFWPJKN3FJ4BW9WGK3NP&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_195&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICFWPJKN3FJ4BW9.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/kgiaykw0/air-cooler/b/w/9/dc-2016-glacier-room-cooler-bajaj-original-imafwpqys2cxmvjc.jpeg?q=70","BAJAJ 67 L Desert Air Cooler","BAJAJ","67","3.7","18","₹10,990","15% off"
"www.flipkart.com/aisen-35-l-tower-air-cooler/p/itmf45ngdz9yygc8?pid=AICF45HRAF5H55PR&lid=LSTAICF45HRAF5H55PRLRBQMF&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_196&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICF45HRAF5H55PR.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/k5zn9u80/air-cooler/p/h/g/a35dmh600-prima-35-ltr-water-tank-with-double-blower-aisen-original-imafzjyfvyypgjxu.jpeg?q=70","AISEN 35 L Tower Air Cooler","AISEN","35","NULL","NULL","₹8,500","18% off"
