"URL","Image","Name","Brand","Size","Star","Rating","Review","Price","Discount"
"www.flipkart.com/vu-cinema-tv-108-cm-43-inch-ultra-hd-4k-led-smart-android/p/itmd98cbdb233ae6?pid=TVSFZARWGJSCH2YH&lid=LSTTVSFZARWGJSCH2YHXJQ0PY&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_8_173&otracker=browse&fm=organic&iid=d183ec7e-1b69-4627-a2f3-87ee44c24bd9.TVSFZARWGJSCH2YH.SEARCH&ppt=None&ppn=None&ssid=lvz7o4e1c00000001639416370394","https://rukminim1.flixcart.com/image/312/312/k5vcya80/television/2/y/h/vu-43ca-original-imafzgkfchwevdvh.jpeg?q=70","Vu cinema TV 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV","Vu","43 inch","4.3","445","60","₹30,999","13%"
"www.flipkart.com/samsung-neo-qled-125-cm-50-inch-ultra-hd-4k-smart-tv/p/itm3b9a8ce4ec7de?pid=TVSG5U2KKCVEGG6J&lid=LSTTVSG5U2KKCVEGG6J6FJU1D&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_8_174&otracker=browse&fm=organic&iid=d183ec7e-1b69-4627-a2f3-87ee44c24bd9.TVSG5U2KKCVEGG6J.SEARCH&ppt=None&ppn=None&ssid=lvz7o4e1c00000001639416370394","https://rukminim1.flixcart.com/image/312/312/kthjy4w0/television/a/y/l/qa50qn90aaklxl-samsung-original-imag6tsbuz33g2er.jpeg?q=70","SAMSUNG Neo QLED 125 cm (50 inch) QLED Ultra HD (4K) Smart TV","SAMSUNG","50 inch","4.7","66","11","₹99,990","16%"
"www.flipkart.com/haier-google-certified-android-9-0-105-cm-42-inch-full-hd-led-smart-tv/p/itmfb1f334b71e7a?pid=TVSG4TFJXPTWKGDG&lid=LSTTVSG4TFJXPTWKGDGMDJHCU&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_8_175&otracker=browse&fm=organic&iid=d183ec7e-1b69-4627-a2f3-87ee44c24bd9.TVSG4TFJXPTWKGDG.SEARCH&ppt=None&ppn=None&ssid=lvz7o4e1c00000001639416370394","https://rukminim1.flixcart.com/image/312/312/kqwobrk0/television/t/a/y/le42a6500ga-le42a6500ga-haier-original-imag4tfjth6js3uq.jpeg?q=70","Haier Google Certified Android 9.0 105 cm (42 inch) Full HD LED Smart Android TV","Haier","42 inch","5","4","0","₹27,890","38%"
"www.flipkart.com/candes-60-cm-24-inch-hd-ready-led-smart-android-tv/p/itm5181c614939f7?pid=TVSG5EJ7GGMZHBXC&lid=LSTTVSG5EJ7GGMZHBXCHE1VG8&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_8_176&otracker=browse&fm=organic&iid=en_Tj1NkBuBvAH2bEUprMPf1qGWdBg6RnbCdvW4EQcatSx9FcdykiZ04yS%2ByO%2BFHYBXVMqbLL7LyJi6Nn2U7yp9LQ%3D%3D&ppt=None&ppn=None&ssid=lvz7o4e1c00000001639416370394","https://rukminim1.flixcart.com/image/312/312/krntoy80/television/m/x/z/f24s001-frameless-tv-candes-original-imag5egz5rddvkbh.jpeg?q=70","Candes 60 cm (24 inch) HD Ready LED Smart Android TV","Candes","24 inch","4","180","30","₹9,999","44%"
"www.flipkart.com/samsung-9-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itm3f451b129c45e?pid=TVSG4CQ8KDSPTDHU&lid=LSTTVSG4CQ8KDSPTDHUUP2TGT&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_8_177&otracker=browse&fm=organic&iid=d183ec7e-1b69-4627-a2f3-87ee44c24bd9.TVSG4CQ8KDSPTDHU.SEARCH&ppt=None&ppn=None&ssid=lvz7o4e1c00000001639416370394","https://rukminim1.flixcart.com/image/312/312/kqv8vww0/television/v/a/4/ua43au9070-samsung-original-imag4s9zafrm8duw.jpeg?q=70","SAMSUNG 9 108 cm (43 inch) Ultra HD (4K) LED Smart TV","SAMSUNG","43 inch","4","4","0","₹49,990","20%"
"www.flipkart.com/philips-7600-series-146-cm-58-inch-ultra-hd-4k-led-smart-tv/p/itmbdc12ba79b706?pid=TVSG5TYFXUF6KHX6&lid=LSTTVSG5TYFXUF6KHX6RGZFUZ&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_8_178&otracker=browse&fm=organic&iid=d183ec7e-1b69-4627-a2f3-87ee44c24bd9.TVSG5TYFXUF6KHX6.SEARCH&ppt=None&ppn=None&ssid=lvz7o4e1c00000001639416370394","https://rukminim1.flixcart.com/image/312/312/kshtxu80/television/b/l/c/58put7605-94-philips-original-imag6fyzhgeg5qug.jpeg?q=70","PHILIPS 7600 Series 146 cm (58 inch) Ultra HD (4K) LED Smart TV","PHILIPS","58 inch","4.1","71","10","₹49,999","44%"
"www.flipkart.com/philips-6900-series-108-cm-43-inch-full-hd-led-smart-android-tv/p/itme4e47b2511fd1?pid=TVSG5ZZ7QGSAQCSC&lid=LSTTVSG5ZZ7QGSAQCSCEQKS29&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_8_179&otracker=browse&fm=organic&iid=d183ec7e-1b69-4627-a2f3-87ee44c24bd9.TVSG5ZZ7QGSAQCSC.SEARCH&ppt=None&ppn=None&ssid=lvz7o4e1c00000001639416370394","https://rukminim1.flixcart.com/image/312/312/ksw4ccw0/television/5/x/c/43pft6915-94-philips-original-imag6cz5auguazys.jpeg?q=70","PHILIPS 6900 Series 108 cm (43 inch) Full HD LED Smart Android TV","PHILIPS","43 inch","4.2","69","14","₹31,999","28%"
"www.flipkart.com/croma-81-28-cm-32-inch-hd-ready-led-tv/p/itm520151165f8a4?pid=TVSGYWDFYKYPHQKF&lid=LSTTVSGYWDFYKYPHQKFQ24AJZ&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_8_180&otracker=browse&fm=organic&iid=en_Tj1NkBuBvAH2bEUprMPf1qGWdBg6RnbCdvW4EQcatSw0ZYL2HE8w9SxCMqMxUdTtWgwjph3FY%2FhIrxG19BejOQ%3D%3D&ppt=None&ppn=None&ssid=lvz7o4e1c00000001639416370394","https://rukminim1.flixcart.com/image/312/312/ku1k4280/television/p/f/6/crel7369-croma-original-imag7969pxhrwp2k.jpeg?q=70","Croma 81.28 cm (32 inch) HD Ready LED TV","Croma","32 inch","4.2","86","10","₹10,490","47%"
"www.flipkart.com/lumx-border-less-80-cm-32-inch-hd-ready-led-tv/p/itmb49977d57aa92?pid=TVSG59YNVH6GQ32N&lid=LSTTVSG59YNVH6GQ32NGXLYTL&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_8_181&otracker=browse&fm=organic&iid=d183ec7e-1b69-4627-a2f3-87ee44c24bd9.TVSG59YNVH6GQ32N.SEARCH&ppt=None&ppn=None&ssid=lvz7o4e1c00000001639416370394","https://rukminim1.flixcart.com/image/312/312/krgohow0/television/w/v/u/24za452-lumx-original-imag59yeaqkyw4ca.jpeg?q=70","LumX Border Less 80 cm (32 inch) HD Ready LED TV","LumX","32 inch","NULL","NULL","NULL","₹9,490","60%"
"www.flipkart.com/tcl-c715-series-126-cm-50-inch-qled-ultra-hd-4k-smart-android-tv-handsfree-voice-control-dolby-vision-atmos/p/itmd30a3de174f97?pid=TVSFVSZHYGZXRGKD&lid=LSTTVSFVSZHYGZXRGKDPNHMHQ&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_8_182&otracker=browse&fm=organic&iid=d183ec7e-1b69-4627-a2f3-87ee44c24bd9.TVSFVSZHYGZXRGKD.SEARCH&ppt=None&ppn=None&ssid=lvz7o4e1c00000001639416370394","https://rukminim1.flixcart.com/image/312/312/knoxnrk0/television/u/n/4/50c715-tcl-original-imag2bdr53j6gg7y.jpeg?q=70","TCL C715 Series 126 cm (50 inch) QLED Ultra HD (4K) Smart Android TV with Handsfree Voice Control & Do...","TCL","50 inch","4.3","427","68","₹42,999","60%"
