"URL","Image","Name","Brand","Capacity","Star","Rating","Review","Price","Discount"
"www.flipkart.com/digismart-3-l-instant-water-geyser-premium-white/p/itmc765a3c3cc0b4?pid=WGYFN82JZPZHP57H&lid=LSTWGYFN82JZPZHP57H1JOG4I&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_21&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYFN82JZPZHP57H.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/k4a7c7k0/water-geyser/5/7/h/premium-special-anti-rust-coating-tank-3000-digismart-3-original-imafn8c8gedzchnh.jpeg?q=70","DIGISMART 3 L Instant Water Geyser (Premium, White)","DIGISMART","3","4.3","131","53","₹1,999","47%"
"www.flipkart.com/ao-smith-15-l-storage-water-geyser-sgs-green-015-white/p/itm93802e4de5099?pid=WGYFJE9S4HRH7Q7J&lid=LSTWGYFJE9S4HRH7Q7JTNEHL2&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_22&otracker=browse&fm=organic&iid=en_SNdppMs6CmcAABoPeuqNkpo6kHhRpfJpLYzksw%2BnOIB3kK6xWXHo4hCQe8eyF1%2BM16JPXXgelv0KNgA%2F5eGpPg%3D%3D&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/k0r15e80/water-geyser/q/7/j/sgs-green-series-015-storage-vertical-water-heater-2000-ao-smith-original-imafkf66ckgz3zyy.jpeg?q=70","Ao Smith 15 L Storage Water Geyser (SGS-GREEN-015, White)","Ao","15","4.2","392","55","₹11,099","16%"
"www.flipkart.com/bajaj-10-l-storage-water-geyser-popular-plus-l-white/p/itm037ec21aaf4eb?pid=WGYFK7EW3ZNGCQHX&lid=LSTWGYFK7EW3ZNGCQHXBBAAIR&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_23&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYFK7EW3ZNGCQHX.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/k0plpjk0/water-geyser/q/h/x/popular-plus-2000-bajaj-10-original-imafkg8cthvkshut.jpeg?q=70","BAJAJ 10 L Storage Water Geyser (Popular Plus 10 L, White)","BAJAJ","10","4.2","2,022","220","₹5,599","24%"
"www.flipkart.com/crompton-25-l-storage-water-geyser-aswh-3025-white/p/itm2ac1a226d47e9?pid=WGYFV2DAPGQ8WXQJ&lid=LSTWGYFV2DAPGQ8WXQJVLKE9B&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_24&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYFV2DAPGQ8WXQJ.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/ksru0sw0/water-geyser/p/6/w/aswh-3015-crompton-original-imag69j6vnzpgfy6.jpeg?q=70","CROMPTON 25 L Storage Water Geyser (ASWH-3025, White)","CROMPTON","25","4.2","336","23","₹6,999","30%"
"www.flipkart.com/bajaj-15-l-storage-water-geyser-new-shakti-glasslined-technology-white/p/itm229ba0cc3e8d9?pid=WGYG7FUCC6B9RQET&lid=LSTWGYG7FUCC6B9RQETAJHPSF&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_2_25&otracker=browse&fm=organic&iid=92e4de89-4476-4925-988f-30ab39c30b70.WGYG7FUCC6B9RQET.SEARCH&ppt=None&ppn=None&ssid=ouks35gjao0000001639414521136","https://rukminim1.flixcart.com/image/312/312/ksaoqkw0/water-geyser/e/g/m/2020-new-shakti-glasslined-150743-2000-bajaj-25-original-imag5wart5a6xdfw.jpeg?q=70","BAJAJ 15 L Storage Water Geyser (New Shakti Glasslined 15 L With Glasslined Technology, White)","BAJAJ","15","4.3","8,609","995","₹6,894","22%"
"www.flipkart.com/crompton-25-l-storage-water-geyser-juno-litres-white-green/p/itm4164bdc9bdf18?pid=WGYFMGG7T67MJCQZ&lid=LSTWGYFMGG7T67MJCQZWSHBM8&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_2_26&otracker=browse&fm=organic&iid=92e4de89-4476-4925-988f-30ab39c30b70.WGYFMGG7T67MJCQZ.SEARCH&ppt=None&ppn=None&ssid=ouks35gjao0000001639414521136","https://rukminim1.flixcart.com/image/312/312/ksru0sw0/water-geyser/e/p/k/aswh-2210-crompton-original-imag69j5wecx4hbm.jpeg?q=70","CROMPTON 25 L Storage Water Geyser (Juno 25 Litres, White, Green)","CROMPTON","25","4.1","6,878","701","₹7,599","30%"
"www.flipkart.com/v-guard-15-l-storage-water-geyser-victo-litre-5-star-white/p/itm0468d0dccc861?pid=WGYG2XGV2NFWDANF&lid=LSTWGYG2XGV2NFWDANFRZMECN&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_2_27&otracker=browse&fm=organic&iid=92e4de89-4476-4925-988f-30ab39c30b70.WGYG2XGV2NFWDANF.SEARCH&ppt=None&ppn=None&ssid=ouks35gjao0000001639414521136","https://rukminim1.flixcart.com/image/312/312/krdtlzk0/water-geyser/1/q/3/victo-10-litre-5-star-v-guard-original-imag56rs3hzryfgw.jpeg?q=70","V-Guard 15 L Storage Water Geyser (Victo 15 Litre, 5 Star, White)","V-Guard","15","4.3","2,428","354","₹6,999","28%"
"www.flipkart.com/ao-smith-3-l-instant-water-geyser-ews-3-white/p/itmd19b6c944f787?pid=WGYEV3W3B7JFHFYM&lid=LSTWGYEV3W3B7JFHFYMEQNF4Y&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_2_28&otracker=browse&fm=organic&iid=en_lZFDoTx4TygnMu1MTXktiAiFX1efx%2BipWj2zY3UfqgLLYqrnR%2BDhyRXAmLBON0Peq22%2BBVyvBtHV%2BdKXVM9Dig%3D%3D&ppt=None&ppn=None&ssid=ouks35gjao0000001639414521136","https://rukminim1.flixcart.com/image/312/312/krce64w0/water-geyser/1/y/i/ews-3-ao-smith-original-imag55zvsnejwany.jpeg?q=70","Ao Smith 3 L Instant Water Geyser (EWS 3, White)","Ao","3","4","2,129","321","₹3,590","20%"
"www.flipkart.com/hindware-3-l-instant-water-geyser-present-compacto-heater-liter-capacity-white/p/itm2aabc74e247f8?pid=WGYFJGGZBEEK9TTG&lid=LSTWGYFJGGZBEEK9TTGICZDK0&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_2_29&otracker=browse&fm=organic&iid=92e4de89-4476-4925-988f-30ab39c30b70.WGYFJGGZBEEK9TTG.SEARCH&ppt=None&ppn=None&ssid=ouks35gjao0000001639414521136","https://rukminim1.flixcart.com/image/312/312/jziqhzk0/water-geyser/t/t/g/compacto-3-0-liter-3000-hindware-3-original-imafaj86zqjck5hy.jpeg?q=70","Hindware 3 L Instant Water Geyser (Present instant compacto water heater 3 liter capacity, White)","Hindware","3","3.9","329","24","₹2,299","42%"
"www.flipkart.com/havells-15-l-storage-water-geyser-instanio-prime-white-blue/p/itmb5de30a69102d?pid=WGYFT4CA5QDRVM3T&lid=LSTWGYFT4CA5QDRVM3TFA8X4B&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_2_30&otracker=browse&fm=organic&iid=en_lZFDoTx4TygnMu1MTXktiAiFX1efx%2BipWj2zY3UfqgKzV7PK71htR49PCndIb5kXbSqLi4kAvBIaGysqVFS%2Fuw%3D%3D&ppt=None&ppn=None&ssid=ouks35gjao0000001639414521136","https://rukminim1.flixcart.com/image/312/312/kddf6a80/water-geyser/m/3/t/instanio-prime-3000-havells-15-original-imafua9vrycxcg4h.jpeg?q=70","HAVELLS 15 L Storage Water Geyser (Instanio Prime, White & Blue)","HAVELLS","15","4.2","4,864","481","₹7,699","37%"
